feature_class,count
Airport,19493
Arch,575
Area,2507
Arroyo,464
Bar,5899
Basin,4309
Bay,13084
Beach,2403
Bench,724
Bend,2824
Bridge,6780
Building,95909
Canal,21198
Cape,16465
Cemetery,137440
Census,17331
Channel,4134
Church,223246
Civil,58494
Cliff,4491
Crater,251
Crossing,12922
Dam,56940
Falls,2494
Flat,10556
Forest,1300
Gap,8425
Glacier,1053
Gut,4547
Harbor,686
Hospital,13717
Island,20480
Isthmus,27
Lake,68356
Lava,191
Levee,546
Locale,150989
Military,2776
Mine,35275
Oilfield,4862
Park,67011
Pillar,2071
Plain,286
PopulatedPlace,198076
PostOffice,57416
Range,2440
Rapids,1109
Reserve,1058
Reservoir,75402
Ridge,15154
School,210025
Sea,14
Slope,372
Spring,38518
Stream,232863
Summit,71027
Swamp,7462
Tower,16771
Trail,11006
Tunnel,721
Unknown,190
Valley,70372
Well,38773
Woods,671
Cave,0
