Isotope,Element,IsotopNo,Z,SNM,NORM,Soil,Mineral Sands,Coal,Phosphates,OilandGas,BuildMat,Radon,Industry,Medicine,NIDiagnosis,SPECT,PET,RGS,Therapy,Reactor,Accelerator,Generator Parent,Generator Child,HalfLife,HalfLifeSD,HalfLifeUnit,DecayConst,DecayUnit,MassActivity,MassActivityUnit,Reference,DecayMode1,Daughter1,DecayMode1,Daughter2,Comment
Ac-225,Actinium,225,89,,,,,,,,,,,Y,,,,,Y,,Y,,,10,1,days,8.02E-07,1/s,2.15E+15,Bq/g,CNDC - 2009,?,Fr-221,,,
As-74,Arsenic,74,33,,,,,,,,,,,Y,,,Y,,,,,,,,,,,1/s,,Bq/g,,,,,,
Bi-213,Bismuth,213,83,,,,,,,,,,,Y,,,,,Y,?,,Y,,,,,,1/s,,Bq/g,,,,,,
Br-76,Bromine,76,35,,,,,,,,,,,Y,,,Y,,,,,,,16.2,0.2,hours,1.19E-05,1/s,9.42E+16,Bq/g,NDS 42 - 2008,"?+, ?",Se-76,,,
Cd-109,Cadmium,109,48,,,,,,,,,,,,,,,,,,,,,461.4,1.2,days,1.74E-08,1/s,9.61E+13,Bq/g,PTB - 2004,?,Ag-109,,,
C-11,Carbon,11,6,,,,,,,,,,,Y,,,Y,,,,Y,,,20.37,0.029,min,5.67E-04,1/s,3.11E+19,Bq/g,CEA/LNE-LNHB - 2003,"?+, ?",B-11,,,
Cr-51,Chromium,51,24,,,,,,,,,,,Y,Y,,,,,Y,,,,,,,,1/s,,Bq/g,,,,,,
Co-57,Cobalt,57,27,,,,,,,,,,Y,Y,Y,,,Y,,,Y,,,271.8,0.05,days,2.95E-08,1/s,3.12E+14,Bq/g,KRI - 2001 ,?,Fe-57,,,
Co-60,Cobalt,60,27,,,,,,,,,,Y,Y,,,,,,,,,,5.271,0.0008,years,4.17E-09,1/s,4.18E+13,Bq/g,INEEL - 2006 ,?-,Ni-60,,,
Cu-61,Copper,61,29,,,,,,,,,,,Y,,,Y,,,,Y,,,,,,,1/s,,Bq/g,,,,,,
Cu-64,Copper,64,29,,,,,,,,,,,Y,Y,,Y,,Y,,Y,,,,,,,1/s,,Bq/g,,,,,,
Cu-67,Copper,67,29,,,,,,,,,,,Y,,,,,Y,?,Y,,,,,,,1/s,,Bq/g,,,,,,
Cu-62,Copper,62,29,,,,,,,,,,,Y,,,Y,,,,,,,,,,,1/s,,Bq/g,,,,,,
Dy-165,Dysprosium,165,66,,,,,,,,,,,Y,,,,,Y,Y,,,,2.334,,hours,,1/s,,Bq/g,,,,,,
Er-169,Erbium,169,68,,,,,,,,,,,Y,,,,,Y,Y,,,,,,,,1/s,,Bq/g,,,,,,
Eu-152,Europium,152,63,,,,,,,,,,,,,,,,,,,,,,,,,1/s,,Bq/g,,,,,,
F-18,Fluorine,18,9,,,,,,,,,,,Y,?,,Y,Y,,,Y,,,109.74,,min,,1/s,,Bq/g,,,,,,
Ga-67,Gallium,67,31,,,,,,,,,,,Y,,Y,?,Y,,,Y,,,3.2613,0.0005,days,2.46E-06,1/s,2.21E+16,Bq/g,KRI - 2000,?,Zn-67,,,
Ga-68,Gallium,68,31,,,,,,,,,,,Y,,?,Y,,,,Y,Ge-68,,,,,,1/s,,Bq/g,,,,,,
Ga-66,Gallium,66,31,,,,,,,,,,,Y,,Y,Y,,,,,,,9.49,0.07,hours,2.03E-05,1/s,1.85E+17,Bq/g,LBNL - 2003,"?+, ?",Zn-66,,,
Ge-68,Germanium,68,32,,,,,,,,,,,Y,,,Y,,,,Y,,Ga-68,,,,,1/s,,Bq/g,,,,,,
H-3,Tritium,3,1,,,,,,,,,,,Y,,,Y,,,,Y,,H-3,12.32,,years,,1/s,,Bq/g,,,,,,
Ho-166,Holmium,166,67,,,,,,,,,,,Y,Y,,,,Y,Y,,,,,,,,1/s,,Bq/g,,,,,,
In-111,Indium,111,49,,,,,,,,,,,Y,,Y,,Y,,,Y,,,2.8049,0.0004,days,2.86E-06,1/s,1.55E+16,Bq/g,KRI - 2006 ,?,Cd-111 ,,,
I-123,Iodine,123,53,,,,,,,,,,,Y,,Y,,Y,Y,,Y,,,13.2234,0.0037,hours,1.46E-05,1/s,7.13E+16,Bq/g,CEA/LNE-LNHB - 2003 ,?,Te-123 ,,,
I-124,Iodine,124,53,,,,,,,,,,,Y,,?,Y,Y,,,Y,,,,,,,1/s,,Bq/g,,,,,,
I-125,Iodine,125,53,,,,,,,,,,,Y,Y,Y,?,Y,Y,Y,,,,59.407,0.009,days,1.35E-07,1/s,6.51E+14,Bq/g,PTB - 2002 ,?,Te-125 ,,,
I-131,Iodine,131,53,,,,,,,,,,,Y,Y,Y,,Y,Y,Y,,,,8.0233,0.0019,days,1.00E-06,1/s,4.60E+15,Bq/g,CEA/LNE-LNHB - 2003 ,?-,Xe-131 ,,,
Kr-81m,Krypton,81,36,,,,,,,,,,,Y,,,,,,,Y,,,,,,,1/s,,Bq/g,,,,,,
Ir-192,Iridium,192,77,,,,,,,,,,Y,Y,,,,,Y,Y,,,,73.827,0.013,days,1.09E-07,1/s,3.41E+14,Bq/g,LBNL - 2003,?,Os-192,?-,Pt-192,
Fe-59,Iron,59,26,,,,,,,,,,,Y,Y,,,,,Y,,,,,,,,1/s,,Bq/g,,,,,,
Lu-177,Lutetium,177,71,,,,,,,,,,,Y,,Y,,,Y,Y,,,,,,,,1/s,,Bq/g,,,,,,
Mn-54,Manganese,54,25,,,,,,,,,,,,,,,,,,,,,,,,,1/s,,Bq/g,,,,,,
Mo-99,Molybdenum,99,42,,,,,,,,,,,Y,,Y,,,,Y,,,Tc-99m,,,,,1/s,,Bq/g,,,,,,
N-13,Nitrogen,13,7,,,,,,,,,,,Y,,,Y,,,Y,,,,9.967,0.0037,min,1.16E-03,1/s,5.37E+19,Bq/g,CEA/LNE-LNHB - 2003,"?+, ?",C-13,,,
O-15,OXYGEN,15,8,,,,,,,,,,,Y,,,?,,,,Y,,,,,,,1/s,,Bq/g,,,,,,
Pd-103,Palladium,103,46,,,,,,,,,,,Y,,,,,Y,Y,,,,16.964,0.01,days,4.73E-07,1/s,2.77E+15,Bq/g,CEA/LNE-LNHB - 2003 ,?,Rh-103,,,
P-32,Phosphorus,32,15,,,,,,,,,,,Y,,,,,Y,Y,,,,,,,,1/s,,Bq/g,,,,,,
K-42,Potassium,42,19,,,,,,,,,,,Y,Y,,,,,Y,,,,12.36,,hours,,1/s,,Bq/g,,,,,,
Re-186,Rhenium,186,75,,,,,,,,,,,Y,,Y,,,Y,Y,,,,,,,,1/s,,Bq/g,,,,,,
Re-188,Rhenium,188,75,,,,,,,,,,,Y,,,,,Y,Y,,W-188,,,,,,1/s,,Bq/g,,,,,,
Rb-82,Rubidium,82,37,,,,,,,,,,,Y,,,,,,,,,,,,,,1/s,,Bq/g,,,,,,
Rb-82m,Rubidium,82,37,,,,,,,,,,,Y,,,Y,,,,Y,Sr-82,,,,,,1/s,,Bq/g,,,,,,
Sm-153,Samarium,153,62,,,,,,,,,,,Y,,,,,Y,Y,,,,,,,,1/s,,Bq/g,,,,,,
Se-75,Selenium,75,34,,,,,,,,,,,Y,Y,,,,,Y,,,,,,,,1/s,,Bq/g,,,,,,
Na-22,Sodium,22,11,,,,,,,,,,,Y,,,,,,,,,,,,,,1/s,,Bq/g,,,,,,
Na-24,Sodium,24,11,,,,,,,,,,,Y,Y,,,,,Y,,,,,,,,1/s,,Bq/g,,,,,,
Sr-89,Strontium,89,38,,,,,,,,,,,Y,,,,,Y,Y,,,,,,,,1/s,,Bq/g,,,,,,
Sr-82,Strontium,82,38,,,,,,,,,,,Y,,,Y,,,,Y,,Rb-82m,,,,,1/s,,Bq/g,,,,,,
Sr-89,Strontium,89,38,,,,,,,,,,,Y,,,,,Y,Y,,,,,,,,1/s,,Bq/g,,,,,,
Sr-90,Strontium,90,38,,,,,,,,,,,Y,,,,,Y,Y,,,Y-90,,,,,1/s,,Bq/g,,,,,,
Tc-99m,Technetium,99,43,,,,,,,,,,,Y,,Y,,Y,,Y,,Mo-99,,6.0067,0.001,hours,3.21E-05,1/s,1.95E+17,Bq/g,"LNHB, KRI - 2004 ",IT,Tc-99,?-,Ru-99 ,
Te-125m,Tellurium,125,52,,,,,,,,,,,Y,,Y,,,,,,,,57.4,0.15,days,1.40E-07,1/s,6.73E+14,Bq/g,"LNHB, INEEL - 2004",IT,Te-125,,,
Tl-201,Thallium,201,81,,,,,,,,,,,Y,,Y,,Y,,,Y,,,3.0421,0.0017,days,2.64E-06,1/s,7.90E+15,Bq/g,PTB - 2004 ,?,Hg-201 ,,,
Sn-117m,Tin,117,50,,,,,,,,,,,Y,,,,,Y,Y,,,,,,,,1/s,,Bq/g,,,,,,
W-188,Tungsten,188,74,,,,,,,,,,,Y,,,,,Y,Y,,,Re-188,,,,,1/s,,Bq/g,,,,,,
Xe-133,Xenon,133,54,,,,,,,,,,,Y,Y,Y,,,,Y,,,,,,,,1/s,,Bq/g,,,,,,
Yb-169,Ytterbium,169,70,,,,,,,,,,,Y,Y,,,,,Y,,,,,,,,1/s,,Bq/g,,,,,,
Yb-177,Ytterbium,177,70,,,,,,,,,,,Y,,,,,,Y,,,?,,,,,1/s,,Bq/g,,,,,,
Y-90,Yttrium,90,39,,,,,,,,,,,Y,,,,,Y,Y,,Sr-90,,,,,,1/s,,Bq/g,,,,,,
Y-86,Yttrium,86,39,,,,,,,,,,,Y,,,Y,,,,,,,,,,,1/s,,Bq/g,,,,,,
Zn-65,Zinc,65,30,,,,,,,,,,,Y,,,,,,,,,,,,,,1/s,,Bq/g,,,,,,
Zr-89,Zirconium,89,40,,,,,,,,,,,Y,,,Y,,Y,,Y,,,,,,,1/s,,Bq/g,,,,,,
Ba-133,Barium,133,56,,,,,,,,,,Y,,,,,,,,,,,10.54,0.006,years,2.08E-09,1/s,9.44E+12,Bq/g,KRI - 2004 ,?,Cs-133,,,
Cs-137,Cesium,137,55,,,,,,,,,,Y,,,,,,,,,,,30.05,0.08,years,7.31E-10,1/s,3.21E+12,Bq/g,"INEEL, KRI - 2006 ",?-,Ba-137,,,
K-40,Potassium,40,19,,Y,,,Y,,,Y,,,,,,,,,,,,,1.25E+09,3.00E+06,years,1.76E-17,1/s,2.65E+05,Bq/g,"LNHB, INEEL - 2009","?+, ?",Ar-40,?-,Ca-40,
Th-232,Thorium,232,90,,Y,,,,,,,,,,,,,,,,,,,1.40E+10,6.00E+07,years,1.57E-18,1/s,4.07E+03,Bq/g,NPL - 2009,?,Ra-228,,,
Ra-226,Radium,226,88,,Y,,,Y,Y,Y,Y,,Y,,,,,,,,,,,1.60E+03,7.00E+00,years,1.37E-11,1/s,3.66E+10,Bq/g,CEA/LNE-LNHB - 2006,?,Rn-222,,,
Ra-228,Radium,228,88,,Y,,,,,Y,,,,,,,,,,,,,,,,,,1/s,,Bq/g,,,,,,
Th-228,Thorium,228,90,,Y,,,,,Y,,,,,,,,,,,,,,1.9116,,years,,1/s,5.520,Bq/g,,,,,,
Pb-210,Lead,210,82,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,1/s,,Bq/g,,,,,,
Po-210,Polonium,210,84,,Y,,,,Y,,,,,,,,,,,,,,,,,,,1/s,,Bq/g,,,,,,
U-232,Uranium,232, 92,Y,,,,,, ,,,,,,,,,,,,,,70.6,1.1,years,3.11E-10,1/s,8.08E+11,Bq/g,NPL - 2008,?,Th-228,,,
U-234,Uranium,234,92,Y,,,,,,,,,,,,,,,,,,,,2.46E+05,6.00E+02,years,8.95E-14,1/s,2.30E+08,Bq/g,CEA/LNE-LNHB - 2005,?,Th-230,,,
U-235,Uranium,235,92,Y,,,,,,,,,,,,,,,,,,,,7.04E+08,1.00E+06,years,3.12E-17,1/s,8.00E+04,Bq/g,CNDC - 2008,?,Th-231,,,
U-238,Uranium,238,92,Y,Y,,,,,,,,,,,,,,,,,,,4.47E+09,5.00E+06,years,4.92E-18,1/s,1.24E+04,Bq/g,CEA/LNE-LNHB - 2006,?,Th-234,,,
Pu-238,Plutonium,238,94,Y,,,,,,,,,,,,,,,,,,,,87.74,0.03,years,2.50E-10,1/s,6.33E+11,Bq/g,KRI - 2009,?,U-234,,,
Pu-239,Plutonium,239,94,Y,,,,,,,,,,,,,,,,,,,,2.41E+04,1.10E+01,years,9.11E-13,1/s,2.30E+09,Bq/g,KRI - 2007,?,U-235,,,
Pu-240,Plutonium,240,94,Y,,,,,,,,,,,,,,,,,,,,6.56E+03,7.00E+00,years,3.35E-12,1/s,8.40E+09,Bq/g,KRI - 2009,?,U-236,,,
Pu-241,Plutonium,241,94,Y,,,,,,,,,,,,,,,,,,,,14.33,0.04,years,1.53E-09,1/s,3.83E+12,Bq/g,KRI - 2006,?-,Am-241,?,U-237,
Pu-242,Plutonium,242,94,Y,,,,,,,,,,,,,,,,,,,,3.73E+05,3.00E+03,years,5.89E-14,1/s,1.47E+08,Bq/g,KRI - 2009,?,U-238,,,
Am-241,Americium,241,95,Y,,,,,,,,,Y,,,,,,,,,,,432.6,0.6,years,5.08E-11,1/s,1.27E+11,Bq/g,KRI - 2009 ,?,Np-237,,,
Pa-234m, Protactinium,234,91,Y,,,,,,,,,,,,,,,,,,,,1.17,0.03,min,9.87E-03,1/s,2.54E+19,Bq/g,CEA/LNE-LNHB - 1999,IT,Pa-234,?-,U-234,
